"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","146500","Testcase_01View_All_Folders_Keyword","","Mon Dec 02 10:46:12 UTC 2024","passed","Mon Dec 02 10:48:39 UTC 2024","HelloDock","12_view_All_Folders_Test.spec.ts","",""
"","146621","Testcase_01_Genrate_Report_CSV","","Mon Dec 02 10:35:02 UTC 2024","passed","Mon Dec 02 10:37:28 UTC 2024","HelloDock","06_generate_Report_CSV_Test.spec.ts","",""
"","100186","Testcase_02GlobalSearch_Field_Extraction","","Mon Dec 02 10:41:32 UTC 2024","passed","Mon Dec 02 10:43:12 UTC 2024","HelloDock","09_global_Field_Extraction_Test.spec.ts","",""
"","100658","Testcase_01Focus_Mode_Upload_exception","","Mon Dec 02 10:43:12 UTC 2024","passed","Mon Dec 02 10:44:53 UTC 2024","HelloDock","10_focus_Mode_exception_Test.spec.ts","",""
"","284779","Testcase_01_PO_Folder_and_Tags","","Mon Dec 02 10:30:16 UTC 2024","failed","Mon Dec 02 10:35:01 UTC 2024","HelloDock","05_Folder_Tag_rules_Test.spec.ts","",""
"","109870","Testcase_01Global_Search_Keyword","","Mon Dec 02 10:39:42 UTC 2024","passed","Mon Dec 02 10:41:32 UTC 2024","HelloDock","08_global_Search_Keywords_Test.spec.ts","",""
"","107536","Testcase_001Exceptions_Fix_Global_Search","","Mon Dec 02 10:24:43 UTC 2024","passed","Mon Dec 02 10:26:30 UTC 2024","HelloDock","03_exceptions_Test.spec.ts","",""
"","133435","Testcase_02Genrate_Report_Comma_Delimited_Box","","Mon Dec 02 10:37:28 UTC 2024","passed","Mon Dec 02 10:39:42 UTC 2024","HelloDock","07_generate_Delimited_Box.spec.ts","",""
"","79667","Testcase_02_Deletes_Upload_exception","","Mon Dec 02 10:44:53 UTC 2024","passed","Mon Dec 02 10:46:12 UTC 2024","HelloDock","11_delete_Focus_Mode_Test.spec.ts","",""
"","212406","Testcase_01Single_Document_Multi_PO_upload","","Mon Dec 02 10:18:44 UTC 2024","passed","Mon Dec 02 10:22:16 UTC 2024","HelloDock","01_single_Document_Multi_PO.spec.ts","",""
"","225473","Testcase_01_Rules_And_Tag_Rules","","Mon Dec 02 10:26:30 UTC 2024","passed","Mon Dec 02 10:30:16 UTC 2024","HelloDock","04_rules_Tags_PO_Rules_Test.spec.ts","",""
"","146763","Testcase_001Multiple_Document_Multi-PO upload","","Mon Dec 02 10:22:16 UTC 2024","passed","Mon Dec 02 10:24:43 UTC 2024","HelloDock","02_multiple_Document_Multi_PO.spec.ts","",""
